Nro,Sääntö_ID_en,Kuvaus,Selkokielinen paluuarvo,Virheviestin parametrit,Elinkaarivaihe,Luokka.attribuutti,Koodiarvo
1,quality/req-geom-spatialplan-area-reservation-cover,"Valmistelu, kaavaehdotus, muutettu kaavaehdotus, hyväksytty kaava, lainvoimainen ja voimassa elinkaarivaiheissa lisätiedonlajiltaan pääkäyttötarkoituksen mukaiset aluevaraukset tulee peittää Kaava-luokan aluerajaus.","Lisätiedonlajiltaan pääkäyttötarkoituksen mukaiset, aluevaraukset tulee peittää Kaava-luokan aluerajaus. Validointi sallii 0.5mm alueiden päällekkäisyyden.",,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa","Lisätieto.laji, Kaava.aluerajaus",
2,quality/req-geom-codelist-additionalinfotype-mainuseclass-section-area,"Vain Kaavakohde-luokan aluemaiseen geometriaan voi liittää kaavamääräyksen, jonka lisätiedonlaji on pääkäyttötarkoitus tai osa-alue.","Vain Kaavakohde-luokan aluemaiseen geometriaan tulee liittää kaavamääräys, jonka lisätiedonlaji on pääkäyttötarkoitus tai osa-alue.",,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa","Kaavakohde.geometria, Lisätieto.laji",
3,lifecycle/req-geom-spatialplancase-spatialplan-geographicarea-unity,KaavaAsia-luokan ja Kaava-luokan aluerajaus tulee olla yhtenevä Hyväksyttykaava-elinkaaritilassa.,KaavaAsia-luokan ja Kaava-luokan aluerajaus tulee olla yhtenevä Hyväksytty kaava-elinkaaritilassa.,,Hyväksytty kaava,"KaavaAsianVaihe.elinkaaritila, Kaava.aluerajaus ",
4,lifecycle/req-approval-date-mandatory,"Hyväksytty, lainvoimainen ja voimassa elinkaarivaiheissa Kaava-luokan hyväksymispäivämäärä on pakollinen.",Kaava-luokan hyväksymispäivämäärä pakollinen {0}-elinkaaritilassa.,{0} = elinkaaritila,"Hyväksytty, Lainvoimainen, Voimassa","Kaava.elinkaaritila, Kaava.hyväksymispäivämäärä",
5,lifecycle/req-planusecase-spatialplan-lifecycles-unity,Kaava-luokan alaiset luokat tulee olla samassa Kaava-luokan mukaisessa elinkaaritilassa Hyväksytty kaava-elinkaaritilaan saakka. Tämän jälkeen Kaava-luokan alaiset kohteet voivat olla valituksen alainen tai kumoutunut elinkaaritiloissa tehtävistä tehtävistä kaavoitusprosessin päätöksistä riippuen.,Kaava-luokan elinkaaritila-attribuutin koodiarvo ei-sallittu. Tulee olla KaavaAsia-luokan mukaisessa {0}-elinkaaritilassa.,{0} = elinkaaritila,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava","KaavaAsianVaihe.elinkaaritila, Kaava.elinkaaritila",
6,lifecycle/req-spatialplancasedecision-not-empty-lifecycle,"Päätösluokan tiedot tulee olla mukana hyväksytty, lainvoimainen ja voimassa elinkaarenvaiheissa.",KaavaAsianPäätös ei saa olla tyhjä {0}-elinkaaritilassa.,{0} = elinkaaritila,"Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava, Lainvoimainen, Voimassa",,
7,lifecycle/req-spatialplan-lifecycles-unity,Kaava-luokan alaiset luokat tulee olla samassa Kaava-luokan mukaisessa elinkaaritilassa Hyväksytty kaava-elinkaaritilaan saakka. Tämän jälkeen Kaava-luokan alaiset kohteet voivat olla valituksen alainen tai kumoutunut elinkaaritiloissa tehtävistä tehtävistä kaavoitusprosessin päätöksistä riippuen.,{0}-luokan elinkaaritila-attribuutin koodiarvo ei-sallittu. Tulee olla Kaava-luokan mukaisessa {1}-elinkaaritilassa.,"{0} = luokka, {1} = elinkaaritila","Valmistelu, Kaavaehdotus, Muutettu kaavaehdotus, Hyväksytty kaava","Kaava.elinkaaritila, Kaavakohde.elinkaaritila, Kaavamääräys.elinkaaritila, Kaavasuositus.elinkaaritila",
8,lifecycle/req-spatialplanreport-mandatory,Kaavaselostus täytyy olla mukana osana kaava-aineistoa.,Kaavaselostus pakollinen {0}-elinkaaritilassa Kaava-luokalla.,{0} = elinkaaritila,"Hyväksytty, Lainvoimainen, Voimassa",Kaava.selostus,
9,lifecycle/req-codelist-plandecision-name-codevalue-pending,"Elinkaarentilassa vireilletullut voi kaava-asian mukana toimittaa päätökset, joiden nimi olla arvot ,1, 2 tai 3 (Kaavan ajanmukaisuuden arviointi, Kaavoitusaloitteen hyväksyminen, kaavoituksen käynnistäminen)",KaavaAsianPäätös-luokan nimi-attribuutin sallitut päätöksen,"{0} = elinkaaritila, {1} = koodiarvot {0}-elinkaaritilassa ovat {1}, {2} ja {3}. {3} = koodiarvo","Vireilletullut koodiarvo, {2} = koodiarvo,",KaavaAsianPäätös.nimi,"{1}=http://uri.suomi.fi/codelist/rytj/kaavpaatnimi/code/01 , {2}=http://uri.suomi.fi/codelist/rytj/kaavpaatnimi/code/02, {3}=http://uri.suomi.fi/codelist/rytj/kaavpaatnimi/code/03"
10,lifecycle/req-codelist-plandecision-name-codevalue-preparation,"Elinkaarentilassa valmistelu voi kaava-asian päätöksen nimi olla arvot 4, 5 tai 6 (Osallistumis- ja arviointisuunnitelman nähtäville asettaminen, Kaavan valmisteluaineiston nähtäville asettaminen, Kaavaluonnoksen nähtäville asettaminen)","KaavaAsianPäätös-luokan nimi-attribuutin koodiarvo ei-sallittu. Koodiarvo tulee olla {0}-elinkaaritilassa {1}, {2} tai {3}.","{0} = elinkaaritila, {1} = koodiarvo, {2} = koodiarvo, {3} = koodiarvo",Valmistelu,KaavaAsianPäätös.nimi,
